"date","close","volume","open","high","low"
"2016/09/06","106.0100","3670686.0000","107.0000","107.4900","105.4800"
"2016/09/02","106.9300","3066733.0000","107.1900","107.7200","106.4800"
"2016/09/01","106.7200","3231547.0000","106.7400","106.9650","105.7001"
"2016/08/31","106.4300","3349179.0000","106.9900","107.1900","106.3500"
"2016/08/30","107.3500","2390925.0000","107.8700","108.1200","107.1900"
"2016/08/29","107.9700","1793031.0000","107.5800","108.1500","107.4300"
"2016/08/26","107.3100","2511122.0000","107.9400","108.2900","106.9400"
"2016/08/25","107.7200","1793640.0000","107.7500","108.1400","107.4100"
"2016/08/24","107.9600","2444669.0000","108.0200","108.3200","107.6000"
"2016/08/23","108.0000","3063996.0000","109.0000","109.3500","108.0000"
"2016/08/22","108.5000","2450484.0000","108.5200","108.9900","108.1400"
"2016/08/19","109.1400","2388773.0000","109.0100","109.4200","108.9000"
"2016/08/18","109.3300","1959750.0000","109.0500","109.4200","108.8500"
"2016/08/17","108.9400","2208694.0000","108.5480","109.0100","108.2000"
"2016/08/16","109.1600","2413657.0000","109.2100","109.6200","109.0047"
"2016/08/15","109.6900","2044462.0000","109.1700","109.8300","109.1700"
"2016/08/12","108.8700","1808404.0000","109.0200","109.1800","108.5500"
"2016/08/11","109.1800","2005188.0000","108.5000","109.2900","108.4600"
"2016/08/10","108.1200","1654591.0000","108.4600","108.5000","107.7800"
"2016/08/09","108.3400","2213490.0000","108.0100","108.4000","107.8650"
"2016/08/08","107.7900","3020855.0000","107.7400","108.3400","107.4850"
"2016/08/05","107.7400","2675698.0000","106.8500","107.7400","106.6800"
"2016/08/04","106.3600","1862915.0000","106.5500","107.0700","106.3200"
"2016/08/03","106.2900","2985179.0000","106.2700","106.5200","106.0200"
"2016/08/02","106.2700","2384080.0000","106.4900","106.7300","105.8900"
"2016/08/01","106.9400","3061617.0000","107.4600","107.6500","106.5000"
"2016/07/29","107.6500","3232346.0000","107.5000","108.0800","107.1900"
"2016/07/28","107.5800","2806688.0000","107.6900","107.9850","107.1000"
"2016/07/27","107.6900","3995355.0000","108.0600","108.4900","107.4800"
"2016/07/26","107.8900","4414566.0000","107.0400","107.9600","106.5000"
"2016/07/25","104.6500","3460407.0000","105.0500","105.2000","104.4200"
"2016/07/22","105.1300","3513913.0000","104.7700","105.2000","104.5000"
"2016/07/21","105.8500","3827718.0000","106.3700","106.7400","105.6100"
"2016/07/20","106.0400","2987486.0000","105.6900","106.2800","105.5600"
"2016/07/19","105.6200","3493871.0000","104.9900","105.9400","104.8900"
"2016/07/18","105.4900","2185307.0000","105.4800","105.9300","104.8800"
"2016/07/15","105.5000","2836777.0000","105.3500","105.6500","104.8700"
"2016/07/14","105.1400","3307370.0000","105.9800","105.9900","104.9400"
"2016/07/13","105.0900","2950086.0000","105.0700","105.2100","104.5900"
"2016/07/12","104.5000","3748873.0000","104.2300","105.0600","104.0900"
"2016/07/11","103.9600","3316975.0000","103.6600","104.4900","103.6000"
"2016/07/08","103.6600","3502925.0000","102.9100","103.7400","102.5701"
"2016/07/07","101.9700","3051601.0000","101.5300","102.1400","101.3700"
"2016/07/06","101.3800","5227515.0000","100.5500","101.4900","99.3100"
"2016/07/05","100.6200","4311132.0000","102.1000","102.3422","100.2101"
"2016/07/01","102.7300","6578877.0000","102.4800","104.1900","102.3400"
"2016/06/30","102.5500","5837364.0000","100.8700","102.5700","100.5650"
"2016/06/29","100.4700","4737285.0000","99.9800","100.7000","99.4600"
"2016/06/28","99.0300","5583189.0000","98.1500","99.1200","97.9302"
"2016/06/27","97.2100","6244462.0000","98.0000","98.2100","96.8900"
"2016/06/24","98.8900","7446187.0000","99.4200","100.4088","98.7600"
"2016/06/23","102.3300","3074109.0000","102.5000","102.5000","101.7300"
"2016/06/22","101.3500","2634535.0000","101.7700","101.9700","101.1000"
"2016/06/21","101.5700","3318897.0000","101.9900","102.1000","101.4000"
"2016/06/20","101.7000","4447854.0000","102.0200","102.8600","101.6600"
"2016/06/17","101.2000","5691856.0000","100.8500","101.6900","100.3300"
"2016/06/16","101.1200","4550147.0000","100.2900","101.5400","99.3500"
"2016/06/15","100.5400","4480034.0000","101.5000","101.7400","100.5400"
"2016/06/14","101.1900","3705178.0000","101.2100","101.9100","100.5100"
"2016/06/13","101.2100","4494522.0000","101.9800","102.4000","101.1900"
"2016/06/10","102.0000","3601667.0000","101.5500","102.3900","101.2100"
"2016/06/09","102.3200","3608910.0000","101.5700","102.3500","101.4930"
"2016/06/08","102.0700","2567119.0000","101.4500","102.1200","101.3800"
"2016/06/07","101.4500","2539658.0000","101.7800","102.3999","101.4500"
"2016/06/06","101.3600","3769249.0000","100.7400","101.5700","100.5100"
"2016/06/03","100.4300","2251455.0000","100.7500","100.7799","99.8900"
"2016/06/02","100.7900","2468534.0000","100.2500","100.8100","100.0700"
"2016/06/01","100.3500","2806933.0000","100.0900","100.5000","98.7500"
"2016/05/31","100.5800","5265339.0000","100.7700","101.2000","100.3500"
"2016/05/27","100.7600","2670264.0000","100.4900","100.7700","100.0900"
"2016/05/26","100.4100","2503780.0000","100.4400","101.0000","100.2850"
"2016/05/25","100.3200","2354235.0000","100.2900","100.9400","100.2900"
"2016/05/24","99.9100","2953704.0000","99.4900","100.3600","99.4200"
"2016/05/23","98.9000","2658813.0000","98.9500","99.0700","98.2701"
"2016/05/20","99.1000","4312062.0000","99.1500","99.8900","98.6700"
"2016/05/19","98.5100","3138885.0000","98.6700","98.9400","97.9400"
"2016/05/18","99.2900","3340400.0000","99.4500","100.5000","98.7900"
"2016/05/17","100.0600","4191014.0000","101.6600","101.9400","99.7400"
"2016/05/16","101.8200","3469388.0000","100.0500","102.0800","100.0500"
"2016/05/13","100.2700","3280548.0000","101.2400","101.7200","99.9600"
